created_at;account.id;in_reply_to_account_id;
2018-04-26T01:10:55.000Z;3042;-1;
2018-04-26T01:05:50.312Z;571;-1;
2018-04-26T01:04:10.709Z;565;-1;
2018-04-26T01:02:57.000Z;1034;-1;
2018-04-26T00:54:24.000Z;1778;-1;
2018-04-26T00:51:12.000Z;2427;-1;
2018-04-26T00:50:50.000Z;947;-1;
2018-04-26T00:50:06.000Z;3041;-1;
2018-04-26T00:46:46.000Z;100;-1;
2018-04-26T00:46:15.713Z;174;174;
2018-04-26T00:44:59.983Z;174;174;
2018-04-26T00:40:28.000Z;600;-1;
2018-04-26T00:36:28.000Z;763;-1;
2018-04-26T00:32:41.209Z;487;487;
2018-04-26T00:29:14.000Z;3082;-1;
2018-04-26T00:25:27.960Z;182;-1;
2018-04-26T00:25:26.130Z;487;487;
2018-04-26T00:23:29.215Z;182;-1;
2018-04-26T00:21:30.717Z;487;-1;
2018-04-26T00:20:17.000Z;600;-1;
2018-04-26T00:16:48.000Z;1573;-1;
2018-04-26T00:12:55.639Z;487;-1;
2018-04-26T00:12:48.000Z;628;-1;
2018-04-26T00:12:07.251Z;174;174;
2018-04-26T00:12:0200Z;1581;1581;
2018-04-26T00:11:46.742Z;174;-1;
2018-04-26T00:11:05.000Z;1581;-1;
2017-09-10T20:55:33.000Z;1845;-1;
2017-09-10T20:05:56.000Z;718;-1;
2017-09-10T19:03:08.000Z;1209;-1;
2017-09-10T18:31:50.000Z;3196;-1;
2017-09-10T17:34:34.000Z;1339;-1;
2017-09-10T17:00:20.000Z;289;-1;
2017-09-10T16:54:19.000Z;825;-1;
2017-09-10T16:53:02.000Z;3251;-1;
2017-09-10T16:34:58.000Z;775;-1;
2017-09-10T16:23:23.000Z;1457;-1;
2017-09-10T16:06:45.000Z;1908;-1;
2017-09-10T15:08:32.000Z;1548;-1;
2017-09-10T14:54:29.000Z;2359;-1;
2017-09-10T14:18:17.000Z;434;-1;
2017-09-10T12:35:50.000Z;1029;-1;
2017-09-10T07:36:53.000Z;1945;-1;
2017-09-10T04:45:13.000Z;611;-1;
2017-09-10T03:07:40.000Z;501;-1;
2017-09-09T17:32:44.000Z;1256;-1;
2017-09-07T23:05:37.000Z;2315;-1;
