created_at;account.id;in_reply_to_account_id;;;
2017-11-13T03:22:1100Z;1605;-1;;;
2017-11-13T03:56:4600Z;2942;-1;;;
2017-11-13T04:21:2200Z;182;-1;;;
2017-11-13T06:15:0200Z;3327;-1;;;
2017-11-13T06:36:2600Z;1694;-1;;;
2017-11-13T06:48:2100Z;3142;-1;;;
2017-11-13T07:36:4300Z;2877;-1;;;
2017-11-13T07:54:3300Z;2228;-1;;;
2017-11-13T09:14:2400Z;2686;-1;;;
2017-11-13T12:17:5000Z;84;-1;;;
2017-11-13T14:19:5100Z;3557;-1;;;
2017-11-13T14:53:5300Z;2941;-1;;;
2017-11-13T15:24:3100Z;3195;-1;;;
2017-11-13T15:26:1000Z;1576;-1;;;
2017-11-13T15:28:5200Z;3162;-1;;;
2017-11-13T16:20:4100Z;181;-1;;;
2017-11-13T17:59:1000Z;3522;-1;;;
2017-11-13T18:05:0400Z;1544;-1;;;
2017-11-13T18:10:3400Z;1547;-1;;;
2017-11-13T18:14:4500Z;3478;-1;;;
2017-11-13T18:46:4100Z;1373;-1;;;
2017-11-13T18:47:0800Z;2916;-1;;;
2017-11-13T19:02:0600Z;2341;-1;;;
2017-11-13T19:03:0700Z;2341;2341;;;
2017-11-13T19:26:5400Z;1687;-1;;;
2017-11-13T19:31:0000Z;2033;-1;;;
2017-11-13T19:39:0300Z;2033;2033;;;
2017-11-13T20:30:5100Z;1776;-1;;;
2017-11-13T20:44:0700Z;2034;-1;;;
2017-11-13T20:50:3600Z;2035;-1;;;
2017-11-13T20:50:4200Z;87;-1;;;
2017-11-13T20:54:1700Z;3001;-1;;;
2017-11-13T20:58:5100Z;2523;-1;;;
2017-11-13T21:33:0600Z;1790;-1;;;
2017-11-13T21:39:2200Z;2370;-1;;;
2017-11-13T21:56:0500Z;2035;-1;;;
2017-11-13T22:00:1600Z;2443;-1;;;
2017-11-13T22:01:3500Z;944;-1;;;
2017-11-13T22:21:3200Z;1797;-1;;;
2017-11-13T22:35:2900Z;2731;-1;;;
2017-11-13T22:49:1400Z;3248;-1;;;
2017-11-13T22:50:1600Z;3314;-1;;;
2017-11-13T23:16:0100Z;295;-1;;;
2017-11-13T23:29:3500Z;2;-1;;;
2017-11-13T23:31:1600Z;1584;-1;;;
2017-11-14T00:08:2900Z;2453;-1;;;
2017-11-14T00:28:1200Z;2017;-1;;;
2017-11-14T01:33:0000Z;187;-1;;;
2017-11-14T02:09:3900Z;3501;-1;;;
2017-11-14T02:24:3200Z;597;-1;;;
2017-11-14T03:12:0200Z;1670;-1;;;
2017-11-14T03:37:2800Z;3141;-1;;;
2017-11-14T03:39:4300Z;2872;-1;;;
2017-11-14T04:04:5800Z;3155;-1;;;
2017-11-14T04:06:2100Z;1499;-1;;;
2017-11-14T05:13:4700Z;898;-1;;;
2017-11-14T05:20:5800Z;74;-1;;;
2017-11-14T05:43:5000Z;898;-1;;;
2017-11-14T05:45:1300Z;1537;-1;;;
2017-11-14T06:02:2000Z;3248;-1;;;
2017-11-14T06:08:2500Z;2088;-1;;;
2017-11-14T06:13:4700Z;3015;-1;;;
2017-11-14T07:35:3700Z;1459;-1;;;
2017-11-14T08:10:3100Z;2172;-1;;;
2017-11-14T08:26:5400Z;1499;-1;;;
2017-11-14T09:12:5500Z;2861;-1;;;
2017-11-14T09:54:2300Z;2580;-1;;;
2017-11-14T10:38:1800Z;1477;-1;;;
2017-11-14T13:39:3400Z;3;-1;;;
2017-11-14T14:31:1400Z;181;-1;;;
2017-11-14T15:55:5900Z;779;-1;;;
2017-11-14T17:36:4900Z;2006;-1;;;
2017-11-14T17:54:2600Z;3176;-1;;;
2017-11-14T18:02:1200Z;3833;-1;;;
2017-11-14T18:12:4300Z;3006;-1;;;
2017-11-14T18:13:0400Z;3528;-1;;;
2017-11-14T18:21:4300Z;3176;-1;;;
2017-11-14T18:36:3900Z;2740;-1;;;
2017-11-14T18:47:4100Z;3176;-1;;;
2017-11-14T18:50:0300Z;340;-1;;;
2017-11-14T19:42:5400Z;3176;-1;;;
2017-11-14T19:54:1600Z;3178;-1;;;
2017-11-14T21:25:1000Z;2648;-1;;;
2017-11-14T22:49:5000Z;1584;-1;;;
2017-11-14T23:11:2700Z;21;-1;;;
2017-11-15T00:03:3400Z;15;-1;;;
2017-11-15T00:05:1000Z;15;15;;;
2017-11-15T00:43:4600Z;2;-1;;;
2017-11-15T01:30:5800Z;769;-1;;;
2017-11-15T01:38:0800Z;3306;-1;;;
2017-11-15T03:17:4200Z;2983;-1;;;
2017-11-15T03:56:0300Z;2392;-1;;;
2017-11-15T05:27:3300Z;3141;-1;;;
2017-11-15T09:44:4300Z;2027;-1;;;
2017-11-15T09:56:1100Z;54;-1;;;
2017-11-15T10:59:5200Z;64;-1;;;
2017-11-15T12:44:2700Z;2920;-1;;;
2017-11-15T12:54:4100Z;2321;-1;;;
2017-11-15T13:24:4700Z;54;-1;;;
2017-11-15T13:45:1900Z;1539;-1;;;
2017-11-15T13:47:5800Z;1160;-1;;;
2017-11-15T14:04:2400Z;10;-1;;;
2017-11-15T16:23:1300Z;3329;-1;;;
2017-11-15T16:27:07.579Z;1;-1;;;
2017-11-15T16:59:2100Z;502;-1;;;
2017-11-15T17:58:4600Z;2011;-1;;;
2017-11-15T18:31:1400Z;2580;-1;;;
2017-11-15T19:04:2600Z;2826;-1;;;
2017-11-15T19:17:2800Z;2725;-1;;;
2017-11-15T19:47:23.504Z;8;-1;;;
2017-11-15T20:51:5200Z;3658;-1;;;
2017-11-15T20:58:55.575Z;8;-1;;;
2017-11-15T21:59:2900Z;544;-1;;;
2017-11-16T02:53:4500Z;3012;-1;;;
2017-11-16T04:14:1100Z;2392;-1;;;
2017-11-16T04:18:4700Z;3207;-1;;;
2017-11-16T04:45:5700Z;2100;-1;;;
2017-11-16T05:04:3700Z;606;-1;;;
2017-11-16T09:24:4800Z;2229;-1;;;
2017-11-16T12:30:09.296Z;3;-1;;;
2017-11-16T12:30:49.549Z;3;-1;;;
2017-11-16T12:45:5100Z;26;-1;;;
2017-11-16T13:33:3100Z;2794;-1;;;
2017-11-16T17:12:1000Z;2180;-1;;;
2017-11-16T17:15:5400Z;2342;-1;;;
2017-11-16T17:28:5300Z;3185;-1;;;
2017-11-16T17:59:08.303Z;8;-1;;;
2017-11-16T19:58:2757Z;8;-1;;;
2017-11-16T20:11:37.414Z;8;-1;;;
2017-11-16T20:22:1200Z;2628;-1;;;
2017-11-16T20:26:0021Z;8;-1;;;
2017-11-16T22:35:1700Z;3336;-1;;;
2017-11-16T23:05:4000Z;22;-1;;;
